title,artist_name,writer,gender,year,writer_is_artist,artist_gender,title_artist_name,Songwriter is Artist
Lips Are Movin,Meghan Trainor,Meghan Trainor,f,2014,,f,Lips Are Movin by Meghan Trainor,1
No,Meghan Trainor,Meghan Trainor,f,2016,,f,No by Meghan Trainor,1
ON,BTS,MELANIE JOY FONTANA,f,2020,,m,ON by BTS,0
Good As Hell,Lizzo,MELISSA VIVIANE JEFFERSON,f,2019,,f,Good As Hell by Lizzo,1
Rumors,Lizzo Featuring Cardi B,MELISSA VIVIANE JEFFERSON,f,2021,,f,Rumors by Lizzo Featuring Cardi B,1
About Damn Time,Lizzo,MELISSA VIVIANE JEFFERSON,f,2022,,f,About Damn Time by Lizzo,1
No Brainer,"DJ Khaled Featuring Justin Bieber, Chance The Rapper & Quavo",MELVIN C RILEY,m,2018,,m,"No Brainer by DJ Khaled Featuring Justin Bieber, Chance The Rapper & Quavo",
Nice For What,Drake,Method Man,m,2018,,m,Nice For What by Drake,
Heartless,The Weeknd,Metro Boomin,m,2019,,m,Heartless by The Weeknd,
Champagne Poetry,Drake,MICAH DAVIS,m,2021,,m,Champagne Poetry by Drake,
First Class,Jack Harlow,MICAIAH ABDUL RAHEEM,m,2022,,m,First Class by Jack Harlow,
Sorry,Justin Bieber,"Michael \BllodPop\"" Tucker""",m,2015,,m,Sorry by Justin Bieber,
Black Beatles,Rae Sremmurd Featuring Gucci Mane,"Michael \Mike WiLL Made-It\"" Len Williams II""",m,2016,,m,Black Beatles by Rae Sremmurd Featuring Gucci Mane,
DNA.,Kendrick Lamar,"Michael \Mike WiLL Made-It\"" Len Williams II""",m,2017,,m,DNA. by Kendrick Lamar,
Humble.,Kendrick Lamar,"Michael \Mike WiLL Made-It\"" Len Williams II""",m,2017,,m,Humble. by Kendrick Lamar,
Unforgettable,French Montana Featuring Swae Lee,"Michael \Mike WiLL Made-It\"" Len Williams II""",m,2017,,m,Unforgettable by French Montana Featuring Swae Lee,
We Can't Stop,Miley Cyrus,"Michael \Mike WiLL Made-It\"" Len Williams II""",m,2013,,nb,We Can't Stop by Miley Cyrus,
Say Something,A Great Big World & Christina Aguilera,"Michael \Mike\"" Campbell""",m,2013,,m;f,Say Something by A Great Big World & Christina Aguilera,
Let Her Go,Passenger,"Michael \Mike\"" David \""Oliver Francois\"" Rosenberg""",m,2014,,m,Let Her Go by Passenger,
Wake Me Up!,Avicii,"Michael \Mike\"" Einziger""",m,2013,,m,Wake Me Up! by Avicii,
Ni**as in Paris,Jay Z Kanye West,"Michael \Mike\"" G. Dean""",m,2012,,m,Ni**as in Paris by Jay Z Kanye West,
FourFiveSeconds,Rihanna & Kanye West & Paul McCartney,"Michael \Mike\"" G. Dean""",m,2015,,m;f,FourFiveSeconds by Rihanna & Kanye West & Paul McCartney,
Boyfriend,Justin Bieber,"Michael \Mike\"" Posner""",m,2012,,m,Boyfriend by Justin Bieber,
Sugar,Maroon 5,"Michael \Mike\"" Posner""",m,2015,,m,Sugar by Maroon 5,
I Took A Pill In Ibiza,Mike Posner,"Michael \Mike\"" Posner""",m,2016,,m,I Took A Pill In Ibiza by Mike Posner,
BedRock,Young Money Featuring Lloyd,"Michael \Tyga\"" Ray Nguyen-Stevenson""",m,2010,,m,BedRock by Young Money Featuring Lloyd,
Creepin',"Metro Boomin, The Weeknd & 21 Savage",MICHAEL CARLOS JONES,m,2022,,m,"Creepin' by Metro Boomin, The Weeknd & 21 Savage",
Wild Ones,Flo Rida Featuring Sia,Michael Cooper,m,2012,,m;f,Wild Ones by Flo Rida Featuring Sia,
"Thank U, Next",Ariana Grande,Michael Foster,m,2018,,f,"Thank U, Next by Ariana Grande",0
7 Rings,Ariana Grande,Michael Foster,m,2019,,f,7 Rings by Ariana Grande,0
The Middle,"Zedd, Maren Morris & Grey",MICHAEL G TREWARTHA,m,2018,,m;f,"The Middle by Zedd, Maren Morris & Grey",
Pillowtalk,Zayn,Michael Hannides,m,2016,,m,Pillowtalk by Zayn,
We Are The World 25: For Haiti,Artists For Haiti,Michael Joe Jackson,m,2010,,m;f;nb,We Are The World 25: For Haiti by Artists For Haiti,
Lemon Pepper Freestyle,Drake Featuring Rick Ross,MICHAEL JOHN MULE,m,2021,,m,Lemon Pepper Freestyle by Drake Featuring Rick Ross,
Die Hard,"Kendrick Lamar, Blxst & Amanda Reifer",MICHAEL JOHN MULE,m,2022,,m;f,"Die Hard by Kendrick Lamar, Blxst & Amanda Reifer",
Wait For U,Future Featuring Drake & Tems,MICHAEL JOHN MULE,m,2022,,m;f,Wait For U by Future Featuring Drake & Tems,
my.life,"J. Cole, 21 Savage & Morray",MICHAEL KEITH SMITH,pm,2021,,m,"my.life by J. Cole, 21 Savage & Morray",
Stupid Love,Lady Gaga,MICHAEL KEVIN TUCKER,m,2020,,f,Stupid Love by Lady Gaga,0
Roses,SAINt JHN,MICHAEL LEE IVINS,m,2020,,m,Roses by SAINt JHN,
Stay,The Kid LAROI & Justin Bieber,Michael Mule,m,2021,,m,Stay by The Kid LAROI & Justin Bieber,
Fair Trade,Drake Featuring Travis Scott,MICHAEL OLIVER GORDON,m,2021,,m,Fair Trade by Drake Featuring Travis Scott,
Memories,Maroon 5,MICHAEL ROSS POLLACK,m,2019,,m,Memories by Maroon 5,
Holy,Justin Bieber Featuring Chance The Rapper,MICHAEL ROSS POLLACK,m,2020,,m,Holy by Justin Bieber Featuring Chance The Rapper,
Ghost,Justin Bieber,MICHAEL ROSS POLLACK,m,2022,,m,Ghost by Justin Bieber,
No Guidance,Chris Brown Featuring Drake,MICHEE PATRICK LEBRUN,m,2019,,m,No Guidance by Chris Brown Featuring Drake,
ON,BTS,MICHEL SEBASTIAN MAXIMILIAN SCHULZ,m,2020,,m,ON by BTS,
Down On Me,Jeremih Featuring 50 Cent,Mick Schultz,m,2011,,m;f,Down On Me by Jeremih Featuring 50 Cent,
Sicko Mode,Travis Scott,Mike Dean,m,2018,,m,Sicko Mode by Travis Scott,
HIGHEST IN THE ROOM,Travis Scott,Mike Dean,m,2019,,m,HIGHEST IN THE ROOM by Travis Scott,
The Scotts,"THE SCOTTS, Travis Scott & Kid Cudi",Mike Dean,m,2020,,m,"The Scotts by THE SCOTTS, Travis Scott & Kid Cudi",
S&M,Rihanna Featuring Britney Spears,Mikkel Eriksen,m,2011,,f,S&M by Rihanna Featuring Britney Spears,0
Firework,Katy Perry,Mikkel Storleer Eriksen,m,2010,,f,Firework by Katy Perry,0
Only Girl (In The World),Rihanna,Mikkel Storleer Eriksen,m,2010,,f,Only Girl (In The World) by Rihanna,0
Rude Boy,Rihanna,Mikkel Storleer Eriksen,m,2010,,f,Rude Boy by Rihanna,0
Diamonds,Rihanna,Mikkel Storleer Eriksen,m,2012,,f,Diamonds by Rihanna,0
Black Widow,Iggy Azalea Featuring Rita Ora,Mikkel Storleer Eriksen,m,2014,,f,Black Widow by Iggy Azalea Featuring Rita Ora,0
Same Old Love,Selena Gomez,Mikkel Storleer Eriksen,m,2016,,f,Same Old Love by Selena Gomez,0
Black And Yellow,Wiz Khalifa,Mikkel Storleer Eriksen,m,2011,,m,Black And Yellow by Wiz Khalifa,
What's My Name?,Rihanna Featuring Drake,Mikkel Storleer Eriksen,m,2010,,m;f,What's My Name? by Rihanna Featuring Drake,
Too Good At Goodbyes,Sam Smith,Mikkel Storleer Eriksen,m,2017,,nb,Too Good At Goodbyes by Sam Smith,
Stay,Rihanna Featuring Mikky Ekko,Mikky Ekko,m,2013,,m;f,Stay by Rihanna Featuring Mikky Ekko,1
Stay,Rihanna Featuring Mikky Ekko,Mikky Ekko,m,2013,,m;f,Stay by Rihanna Featuring Mikky Ekko,1
Broccoli,D.R.A.M. Featuring Lil Yachty,"Miles \Lil Yachty\"" Parks McCollum""",m,2016,,m,Broccoli by D.R.A.M. Featuring Lil Yachty,
iSpy,KYLE Featuring Lil Yachty,"Miles \Lil Yachty\"" Parks McCollum""",m,2017,,m,iSpy by KYLE Featuring Lil Yachty,
We Can't Stop,Miley Cyrus,Miley Cyrus,nb,2013,,nb,We Can't Stop by Miley Cyrus,1
Sicko Mode,Travis Scott,Mirsad Dervic,m,2018,,m,Sicko Mode by Travis Scott,
Want To Want Me,Jason Derulo,Mitch Allan,m,2015,,m,Want To Want Me by Jason Derulo,
Sign Of The Times,Harry Styles,Mitch Rowland,m,2017,,m,Sign Of The Times by Harry Styles,
Watermelon Sugar,Harry Styles,Mitchell Rowland,m,2020,,m,Watermelon Sugar by Harry Styles,
Mi Gente,J Balvin & Willy William Featuring Beyonce,Mohombi Nzasi Moupondo,m,2017,,m;f,Mi Gente by J Balvin & Willy William Featuring Beyonce,
Work,Rihanna Featuring Drake,Monte S. Moir,m,2016,,m;f,Work by Rihanna Featuring Drake,
Industry Baby,Lil Nas X & Jack Harlow,Montero Hill,m,2021,,m,Industry Baby by Lil Nas X & Jack Harlow,
Panini,Lil Nas X,MONTERO LAMAR HILL,m,2019,,m,Panini by Lil Nas X,
You Proof,Morgan Wallen,MORGAN COLE WALLEN,m,2022,,m,You Proof by Morgan Wallen,
7 Years,Lukas Graham,"Morten \Pilo\"" Pilegaard""",m,2016,,m,7 Years by Lukas Graham,
7 Years,Lukas Graham,Morten Ristorp,m,2016,,m,7 Years by Lukas Graham,
Bad Habit,Steve Lacy,MOYA STEVE THOMAS LACY,m,2022,,m,Bad Habit by Steve Lacy,
Positions,Ariana Grande,Mr. Franks,m,2020,,f,Positions by Ariana Grande,0
Nice For What,Drake,Murda Beatz,m,2018,,m,Nice For What by Drake,
Rapstar,Polo G,Murda Beatz,m,2021,,m,Rapstar by Polo G,
Sucker,Jonas Brothers,Mustafa the Poet,m,2019,,m,Sucker by Jonas Brothers,
Alejandro,Lady Gaga,"Nadir \RedOne\"" Khayat""",m,2010,,f,Alejandro by Lady Gaga,0
Starships,Nicki Minaj,"Nadir \RedOne\"" Khayat""",m,2012,,f,Starships by Nicki Minaj,0
I Like It,Enrique Iglesias Featuring Pitbull,"Nadir \RedOne\"" Khayat""",m,2010,,m,I Like It by Enrique Iglesias Featuring Pitbull,
On The Floor,Jennifer Lopez Featuring Pitbull,"Nadir \RedOne\"" Khayat""",m,2011,,m;f,On The Floor by Jennifer Lopez Featuring Pitbull,
ON,BTS,NAM JUN KIM,m,2020,,m,ON by BTS,
Rude,MAGIC!,Nasri Atweh,m,2014,,m,Rude by MAGIC!,
If I Can't Have You,Shawn Mendes,NATE MERCEREAU,m,2019,,m,If I Can't Have You by Shawn Mendes,
Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",NATHAN HARRY II WARD,m,2020,,m,"Whats Poppin by Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",
Die Young,Ke$ha,Nathaniel  Ruess,m,2012,,f,Die Young by Ke$ha,0
Some Nights,fun.,Nathaniel  Ruess,m,2012,,m,Some Nights by fun.,
Just Give Me A Reason,P!nk Featuring Nate Ruess,Nathaniel  Ruess,m,2013,,m;f,Just Give Me A Reason by P!nk Featuring Nate Ruess,
We Are Young,fun. Featuring Janelle Monae,Nathaniel  Ruess,m,2012,,m;nb,We Are Young by fun. Featuring Janelle Monae,
Mask Off,Future,"Nayvadius \Future\"" DeMun Wilburn""",m,2017,,m,Mask Off by Future,
Life Is Good,Future Featuring Drake,NAYVADIUS DEMUN WILBURN,m,2020,,m,Life Is Good by Future Featuring Drake,
Wait For U,Future Featuring Drake & Tems,NAYVADIUS DEMUN WILBURN,m,2022,,m;f,Wait For U by Future Featuring Drake & Tems,
Way 2 Sexy,Drake Featuring Future & Young Thug,Nayvadius Wilburn,m,2021,,m,Way 2 Sexy by Drake Featuring Future & Young Thug,
Puffin On Zootiez,Future,NAYVADIUS WILBURN,m,2022,,m,Puffin On Zootiez by Future,
Creepin',"Metro Boomin, The Weeknd & 21 Savage",NICHOLAS DOMINICK RYAN,m,2022,,m,"Creepin' by Metro Boomin, The Weeknd & 21 Savage",
No Brainer,"DJ Khaled Featuring Justin Bieber, Chance The Rapper & Quavo",NICHOLAS MATTHEW BALDING,m,2018,,m,"No Brainer by DJ Khaled Featuring Justin Bieber, Chance The Rapper & Quavo",
Lucid Dreams,Juice WRLD,NICHOLAS MIRA,m,2018,,m,Lucid Dreams by Juice WRLD,
Ran$om,Lil Tecca,NICHOLAS MIRA,m,2019,,m,Ran$om by Lil Tecca,
Shut Up And Dance,WALK THE MOON,Nicholas Petricca,m,2015,,m,Shut Up And Dance by WALK THE MOON,
Sunroof,Nicky Youre & dazy,NICHOLAS SCOTT URE,m,2022,,m ,Sunroof by Nicky Youre & dazy,
Sunroof,Nicky Youre & dazy,NICHOLAS XAVIER MINUTAGLIO,m,2022,,m ,Sunroof by Nicky Youre & dazy,
Uptown Funk!,Mark Ronson Featuring Bruno Mars,"Nicholaus \Trinidad James\"" Joseph Williams""",m,2014,,m,Uptown Funk! by Mark Ronson Featuring Bruno Mars,
Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer","Nick \Afrojack\"" Van de Wall""",m,2011,,m;f,"Give Me Everything by Pitbull Featuring Ne-Yo, Afrojack & Nayer",
Sucker,Jonas Brothers,Nick Jonas,m,2019,,m,Sucker by Jonas Brothers,
Industry Baby,Lil Nas X & Jack Harlow,Nick Lee,m,2021,,m,Industry Baby by Lil Nas X & Jack Harlow,
Applause,Lady Gaga,Nick Monson,m,2013,,f,Applause by Lady Gaga,0
Good For You,Selena Gomez Featuring A$AP Rocky,Nick Monson,m,2015,,m;f,Good For You by Selena Gomez Featuring A$AP Rocky,
Say So,Doja Cat Featuring Nicki Minaj,Nicki Minaj,f,2020,,f,Say So by Doja Cat Featuring Nicki Minaj,1
Trollz,6ix9ine & Nicki Minaj,Nicki Minaj,f,2020,,m;f,Trollz by 6ix9ine & Nicki Minaj,1
First Class,Jack Harlow,NICKIE JON PABON,m,2022,,m,First Class by Jack Harlow,
I'm The One,"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne","Nicolas \NicNac\"" Balding""",m,2017,,m,"I'm The One by DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne",
Call Out My Name,The Weeknd,NICOLAS ALFREDO JAAR,m,2018,,m,Call Out My Name by The Weeknd,
Positions,Ariana Grande,Nija Charles,f,2020,,f,Positions by Ariana Grande,0
Rain On Me,Lady Gaga & Ariana Grande,Nija Charles,f,2020,,f,Rain On Me by Lady Gaga & Ariana Grande,0
No Guidance,Chris Brown Featuring Drake,NIJA CHARLES,f,2019,,m,No Guidance by Chris Brown Featuring Drake,0
HIGHEST IN THE ROOM,Travis Scott,Nik D,m,2019,,m,HIGHEST IN THE ROOM by Travis Scott,
Get Lucky,Daft Punk Featuring Pharrell Williams,"Nile Gregory Rodgers, Jr.",m,2013,,m,Get Lucky by Daft Punk Featuring Pharrell Williams,
Like A G6,Far*East Movement Featuring Cataracs & Dev,Niles Hollowell-Dhar,m,2010,,m;f,Like A G6 by Far*East Movement Featuring Cataracs & Dev,
Puffin On Zootiez,Future,NILS NOEHDEN,m,2022,,m,Puffin On Zootiez by Future,
"Thank U, Next",Ariana Grande,Njomza Vitia,f,2018,,f,"Thank U, Next by Ariana Grande",0
7 Rings,Ariana Grande,Njomza Vitia,f,2019,,f,7 Rings by Ariana Grande,0
"Hold On, We're Going Home",Drake Featuring Majid Jordan,"Noah \40\"" James Shebib""",m,2013,,m,"Hold On, We're Going Home by Drake Featuring Majid Jordan",
God's Plan,Drake,"Noah \40\"" James Shebib""",m,2018,,m,God's Plan by Drake,
One Dance,Drake Featuring WizKid & Kyla,"Noah \40\"" James Shebib""",m,2016,,m;f,One Dance by Drake Featuring WizKid & Kyla,
FourFiveSeconds,Rihanna & Kanye West & Paul McCartney,Noah Goldstein,m,2015,,m;f,FourFiveSeconds by Rihanna & Kanye West & Paul McCartney,
No Guidance,Chris Brown Featuring Drake,NOAH JAMES SHEBIB,m,2019,,m,No Guidance by Chris Brown Featuring Drake,
Champagne Poetry,Drake,NOAH JAMES SHEBIB,m,2021,,m,Champagne Poetry by Drake,
Spin Bout U,Drake & 21 Savage,NOAH JAMES SHEBIB,m,2022,,m,Spin Bout U by Drake & 21 Savage,
MIA,Bad Bunny Featuring Drake,NOAH K ASSAD,m,2018,,m,MIA by Bad Bunny Featuring Drake,
In My Feelings,Drake,Noah Shebib,m,2018,,m,In My Feelings by Drake,
Nice For What,Drake,Noah Shebib,m,2018,,m,Nice For What by Drake,
Wants And Needs,Drake Featuring Lil Baby,Noah Shebib,m,2021,,m,Wants And Needs by Drake Featuring Lil Baby,
The Bigger Picture,Lil Baby,NOAH THOMAS PETTIGREW,m,2020,,m,The Bigger Picture by Lil Baby,
How To Love,Lil Wayne,"Noel C. \Detail\"" Fisher""",m,2011,,m,How To Love by Lil Wayne,
Drunk In Love,Beyonce Featuring Jay Z,"Noel C. \Detail\"" Fisher""",m,2014,,m;f,Drunk In Love by Beyonce Featuring Jay Z,
No Brainer,"DJ Khaled Featuring Justin Bieber, Chance The Rapper & Quavo",NOLAN JOSEPH LAMBROZA,m,2018,,m,"No Brainer by DJ Khaled Featuring Justin Bieber, Chance The Rapper & Quavo",
Middle Child,J. Cole,NORMAN RAY HARRIS,m,2019,,m,Middle Child by J. Cole,
Staying Alive,DJ Khaled Featuring Drake & Lil Baby,NYAN LIEBERTHAL,m,2022,,m,Staying Alive by DJ Khaled Featuring Drake & Lil Baby,
MIA,Bad Bunny Featuring Drake,OCASIO BENITO ANTONIO MARTINEZ,m,2018,,m,MIA by Bad Bunny Featuring Drake,
Dakiti,Bad Bunny & Jhay Cortez,OCASIO BENITO ANTONIO MARTINEZ,m,2020,,m,Dakiti by Bad Bunny & Jhay Cortez,
Moscow Mule,Bad Bunny,OCASIO BENITO ANTONIO MARTINEZ,m,2022,,m,Moscow Mule by Bad Bunny,
Titi Me Pregunto,Bad Bunny,OCASIO BENITO ANTONIO MARTINEZ,m,2022,,m,Titi Me Pregunto by Bad Bunny,
Wait For U,Future Featuring Drake & Tems,OGHENETEJIRI JESSE AKPOGHENE,m,2022,,m;f,Wait For U by Future Featuring Drake & Tems,
Nice For What,Drake,Ol' Dirty Bastard,m,2018,,m,Nice For What by Drake,
Panini,Lil Nas X,OLADIPO O OMISHORE,m,2019,,m,Panini by Lil Nas X,
Deja Vu,Olivia Rodrigo,OLIVIA RODRIGO,f,2021,,f,Deja Vu by Olivia Rodrigo,1
Drivers License,Olivia Rodrigo,Olivia Rodrigo,f,2021,,f,Drivers License by Olivia Rodrigo,1
Good 4 U,Olivia Rodrigo,Olivia Rodrigo,f,2021,,f,Good 4 U by Olivia Rodrigo,1
Rockstar,Post Malone Featuring 21 Savage,Olufunmibi Awoshiley,m,2017,,m,Rockstar by Post Malone Featuring 21 Savage,
Rockstar,DaBaby Featuring Roddy Ricch,Olufunmibi Awoshiley,m,2020,,m,Rockstar by DaBaby Featuring Roddy Ricch,
Cheerleader,OMI,"Omar \OMI\"" Pasley""",m,2015,,m,Cheerleader by OMI,
Mood,24kGoldn Featuring iann dior,Omer Fedi,m,2020,,m,Mood by 24kGoldn Featuring iann dior,
Montero (Call Me By Your Name),Lil Nas X,Omer Fedi,m,2021,,m,Montero (Call Me By Your Name) by Lil Nas X,
Stay,The Kid LAROI & Justin Bieber,Omer Fedi,m,2021,,m,Stay by The Kid LAROI & Justin Bieber,
Go Crazy,Chris Brown & Young Thug,OMOLOLU OMARI AKINLOLU,m,2021,,m,Go Crazy by Chris Brown & Young Thug,
Super Bass,Nicki Minaj,"Onika Tanya \Nicki Minaj\"" Maraj""",f,2011,,f,Super Bass by Nicki Minaj,1
Starships,Nicki Minaj,"Onika Tanya \Nicki Minaj\"" Maraj""",f,2012,,f,Starships by Nicki Minaj,1
Anaconda,Nicki Minaj,"Onika Tanya \Nicki Minaj\"" Maraj""",f,2014,,f,Anaconda by Nicki Minaj,1
Bang Bang,"Jessie J, Ariana Grande & Nicki Minaj","Onika Tanya \Nicki Minaj\"" Maraj""",f,2014,,f,"Bang Bang by Jessie J, Ariana Grande & Nicki Minaj",1
Side To Side,Ariana Grande Featuring Nicki Minaj,"Onika Tanya \Nicki Minaj\"" Maraj""",f,2016,,f,Side To Side by Ariana Grande Featuring Nicki Minaj,1
BedRock,Young Money Featuring Lloyd,"Onika Tanya \Nicki Minaj\"" Maraj""",f,2010,,m,BedRock by Young Money Featuring Lloyd,0
Turn Me On,David Guetta Featuring Nicki Minaj,"Onika Tanya \Nicki Minaj\"" Maraj""",f,2012,,m;f,Turn Me On by David Guetta Featuring Nicki Minaj,1
Beauty And A Beat,Justin Bieber Featuring Nicki Minaj,"Onika Tanya \Nicki Minaj\"" Maraj""",f,2013,,m;f,Beauty And A Beat by Justin Bieber Featuring Nicki Minaj,1
Super Freaky Girl,Nicki Minaj,ONIKA TANYA MARAJ,f,2022,,f,Super Freaky Girl by Nicki Minaj,1
FEFE,6ix9ine Featuring Nicki Minaj & Murda Beatz,ONIKA TANYA MARAJ,f,2018,,m;f,FEFE by 6ix9ine Featuring Nicki Minaj & Murda Beatz,1
Do We Have A Problem?,Nicki Minaj X Lil Baby,ONIKA TANYA MARAJ,f,2022,,m;f,Do We Have A Problem? by Nicki Minaj X Lil Baby,1
Talk Dirty,Jason Derulo Featuring 2 Chainz,Ori Kaplan,m,2014,,m,Talk Dirty by Jason Derulo Featuring 2 Chainz,
Go Crazy,Chris Brown & Young Thug,ORVILLE ERWIN HALL,m,2021,,m,Go Crazy by Chris Brown & Young Thug,
In My Feelings,Drake,Orville Hall,m,2018,,m,In My Feelings by Drake,
Nice For What,Drake,Orville Hall,m,2018,,m,Nice For What by Drake,
7 Rings,Ariana Grande,Oscar Hammerstein II,m,2019,,f,7 Rings by Ariana Grande,0
Blinding Lights,The Weeknd,Oscar Holter,m,2020,,m,Blinding Lights by The Weeknd,
My Universe,Coldplay x BTS,Oscar Holter,m,2021,,m,My Universe by Coldplay x BTS,
Save Your Tears,The Weeknd & Ariana Grande,Oscar Holter,m,2021,,m;f,Save Your Tears by The Weeknd & Ariana Grande,
Sicko Mode,Travis Scott,Oz,m,2018,,m,Sicko Mode by Travis Scott,
HIGHEST IN THE ROOM,Travis Scott,Oz,m,2019,,m,HIGHEST IN THE ROOM by Travis Scott,
Toosie Slide,Drake,Oz,m,2020,,m,Toosie Slide by Drake,
Life Is Good,Future Featuring Drake,OZAN YILDIRIM,m,2020,,m,Life Is Good by Future Featuring Drake,
Popstar,DJ Khaled Featuring Drake,OZAN YILDIRIM,m,2020,,m,Popstar by DJ Khaled Featuring Drake,
Fair Trade,Drake Featuring Travis Scott,OZAN YILDIRIM,m,2021,,m,Fair Trade by Drake Featuring Travis Scott,
Girls Want Girls,Drake Featuring Lil Baby,OZAN YILDIRIM,m,2021,,m,Girls Want Girls by Drake Featuring Lil Baby,
On BS,Drake & 21 Savage,OZAN YILDIRIM,m,2022,,m,On BS by Drake & 21 Savage,
WAP,Cardi B Featuring Megan Thee Stallion,Pardison Fontaine,m,2020,,f,WAP by Cardi B Featuring Megan Thee Stallion,0
Up,Cardi B,Pardison Fontaine,m,2021,,f,Up by Cardi B,0
I Like It,"Cardi B, Bad Bunny & J Balvin",Pardison Fontaine,m,2018,,m;f,"I Like It by Cardi B, Bad Bunny & J Balvin",
Creepin',"Metro Boomin, The Weeknd & 21 Savage",PARRISH JOSEFF SMITH,m,2022,,m,"Creepin' by Metro Boomin, The Weeknd & 21 Savage",
"Hey, Soul Sister",Train,"Patrick \Pat\"" T. Monahan""",m,2010,,m,"Hey, Soul Sister by Train",
Look Alive,BlocBoy JB Featuring Drake,PATRICK EARL HOUSTON,m,2018,,m,Look Alive by BlocBoy JB Featuring Drake,
Knife Talk,Drake Featuring 21 Savage & Project Pat,PATRICK EARL HOUSTON,m,2021,,m,Knife Talk by Drake Featuring 21 Savage & Project Pat,
Born This Way,Lady Gaga,"Paul \DJ White Shadow\"" Blair""",m,2011,,f,Born This Way by Lady Gaga,0
The Edge Of Glory,Lady Gaga,"Paul \DJ White Shadow\"" Blair""",m,2011,,f,The Edge Of Glory by Lady Gaga,0
Applause,Lady Gaga,"Paul \DJ White Shadow\"" Blair""",m,2013,,f,Applause by Lady Gaga,0
"Hold On, We're Going Home",Drake Featuring Majid Jordan,"Paul \Nineteen85\"" Jefferies""",m,2013,,m,"Hold On, We're Going Home by Drake Featuring Majid Jordan",
Hotline Bling,Drake,"Paul \Nineteen85\"" Jefferies""",m,2015,,m,Hotline Bling by Drake,
One Dance,Drake Featuring WizKid & Kyla,"Paul \Nineteen85\"" Jefferies""",m,2016,,m;f,One Dance by Drake Featuring WizKid & Kyla,
Look Alive,BlocBoy JB Featuring Drake,PAUL D BEAUREGARD,m,2018,,m,Look Alive by BlocBoy JB Featuring Drake,
Rolling In The Deep,Adele,Paul Epworth,m,2011,,f,Rolling In The Deep by Adele,0
FourFiveSeconds,Rihanna & Kanye West & Paul McCartney,Paul McCartney,m,2015,,m;f,FourFiveSeconds by Rihanna & Kanye West & Paul McCartney,1
Find Your Love,Drake,Paul Reynolds,m,2010,,m,Find Your Love by Drake,
Life Goes On,BTS,Pdogg,m,2020,,m,Life Goes On by BTS,
Good Feeling,Flo Rida,Pearl Woods,f,2011,,m,Good Feeling by Flo Rida,0
Your Love Is My Drug,Ke$ha,Pebe Sebert,f,2010,,f,Your Love Is My Drug by Ke$ha,0
Billionaire,Travie McCoy Featuring Bruno Mars,"Peter \Bruno Mars\"" Gene Hernandez""",m,2010,,m,Billionaire by Travie McCoy Featuring Bruno Mars,
Grenade,Bruno Mars,"Peter \Bruno Mars\"" Gene Hernandez""",m,2010,,m,Grenade by Bruno Mars,
Just The Way You Are,Bruno Mars,"Peter \Bruno Mars\"" Gene Hernandez""",m,2010,,m,Just The Way You Are by Bruno Mars,
Nothin' On You,B.o.B Featuring Bruno Mars,"Peter \Bruno Mars\"" Gene Hernandez""",m,2010,,m,Nothin' On You by B.o.B Featuring Bruno Mars,
F**k You! (Forget You),Cee Lo Green,"Peter \Bruno Mars\"" Gene Hernandez""",m,2011,,m,F**k You! (Forget You) by Cee Lo Green,
It Will Rain,Bruno Mars,"Peter \Bruno Mars\"" Gene Hernandez""",m,2011,,m,It Will Rain by Bruno Mars,
Lighters,Bad Meets Evil Featuring Bruno Mars,"Peter \Bruno Mars\"" Gene Hernandez""",m,2011,,m,Lighters by Bad Meets Evil Featuring Bruno Mars,
The Lazy Song,Bruno Mars,"Peter \Bruno Mars\"" Gene Hernandez""",m,2011,,m,The Lazy Song by Bruno Mars,
Locked Out Of Heaven,Bruno Mars,"Peter \Bruno Mars\"" Gene Hernandez""",m,2012,,m,Locked Out Of Heaven by Bruno Mars,
Treasure,Bruno Mars,"Peter \Bruno Mars\"" Gene Hernandez""",m,2013,,m,Treasure by Bruno Mars,
When I Was Your Man,Bruno Mars,"Peter \Bruno Mars\"" Gene Hernandez""",m,2013,,m,When I Was Your Man by Bruno Mars,
Uptown Funk!,Mark Ronson Featuring Bruno Mars,"Peter \Bruno Mars\"" Gene Hernandez""",m,2014,,m,Uptown Funk! by Mark Ronson Featuring Bruno Mars,
24K Magic,Bruno Mars,"Peter \Bruno Mars\"" Gene Hernandez""",m,2016,,m,24K Magic by Bruno Mars,
That's What I Like,Bruno Mars,"Peter \Bruno Mars\"" Gene Hernandez""",m,2017,,m,That's What I Like by Bruno Mars,
Finesse,Bruno Mars & Cardi B,"Peter \Bruno Mars\"" Gene Hernandez""",m,2018,,m;f,Finesse by Bruno Mars & Cardi B,
Please Me,Cardi B & Bruno Mars,PETER GENE HERNANDEZ,m,2019,,m;f,Please Me by Cardi B & Bruno Mars,
Someone You Loved,Lewis Capaldi,Peter Kelleher,m,2019,,m,Someone You Loved by Lewis Capaldi,
